,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000,0.81313,0.38023,5.85070,-9.18530,9.93106,0.36759,Jerry Fernström,1.83292,1.89491,-6.29609,-0.62245,True,43.58182
1001,0.05435,0.89732,1.50829,-8.79618,9.84085,0.83846,Erik Sven Fernström,-1.75396,-0.71970,-8.54241,-2.00896,True,3.47168
1002,0.93130,1.13181,-6.25123,-9.24025,9.97088,1.10935,Erik Sven Fernström,-1.89190,-0.71282,-11.91278,-0.24137,False,43.43945
1003,0.81462,0.32761,-2.58948,-9.90454,10.21894,0.28165,Jerry Fernström,0.71816,0.55542,-9.96034,-1.35239,False,39.43638
1004,2.02671,0.71385,-4.34367,-9.14374,10.12963,0.72507,Jerry Fernström,0.43896,1.29437,-7.76422,-1.28642,False,99.16370
1005,1.66911,0.41779,5.54702,-9.32159,10.16946,0.41637,Jerry Fernström,0.48291,-0.36079,-8.57379,-1.27726,True,86.22921
1006,3.06310,0.70536,-9.75701,-9.04658,9.83249,0.60607,Jerry Fernström,-1.01827,-0.83845,-7.11338,-1.89895,False,148.27657
1007,-1.86799,0.18118,-5.76299,-9.07685,10.49984,0.06812,Jerry Fernström,0.70780,-0.95614,-8.68620,-1.30030,False,-96.28080
1008,0.05496,-0.86037,-1.48828,-9.47880,10.58836,-0.84182,Jerry från Solna,0.85770,-0.42118,-10.91391,3.71528,False,2.00405
1009,1.26546,-0.51649,-1.77623,-8.80204,10.45503,-0.48799,Erik Sven Williams,1.08124,1.05798,-7.38172,-0.11337,False,62.38474
1010,0.18074,-0.59472,1.46161,-9.15663,10.48201,-0.59633,Erik Sven Williams,-0.43100,-0.71188,-6.35597,-0.21420,True,9.76767
1011,1.45543,-0.72816,-2.78219,-9.13505,10.32277,-0.84707,Erik Sven Williams,2.06744,0.70084,-9.06017,0.76748,False,71.38026
1012,0.40004,0.63230,-0.90031,-9.32500,10.03175,0.68527,Jerry Fernström,0.19082,-3.47349,-10.18362,0.06536,False,19.55193
1013,0.34897,-0.78707,-0.28898,-9.21544,10.90323,-0.80710,Jerry från Solna,0.43180,-3.57376,-8.56947,-1.72482,False,17.30403
1014,1.06100,-0.95032,0.27380,-9.77497,10.26147,-0.98650,Jerry från Solna,-0.58374,-1.96028,-11.04269,-0.95829,False,53.18690
1015,0.50450,-0.36579,-2.83014,-9.04486,10.53768,-0.34913,Erik Sven Williams,1.38826,0.86724,-9.66984,-2.63906,False,23.81013
1016,2.27221,0.15660,-3.33295,-8.48093,10.54078,0.24413,Jerry Fernström,-0.46037,2.96393,-9.24694,0.63807,False,111.94391
1017,2.19319,0.75390,1.17886,-9.63605,10.13933,0.81539,Erik Sven Fernström,-1.36699,0.32278,-9.09322,-1.35906,True,110.24873
1018,0.57886,-0.37680,-4.54730,-8.91370,10.34728,-0.59117,Erik Sven Williams,2.71333,-0.86309,-7.74060,-0.01976,False,26.66948
1019,1.27293,0.62137,-4.92211,-9.25416,10.24939,0.57813,Jerry Fernström,-0.97290,-2.60900,-9.72311,-1.11586,False,61.18549
1020,-0.38102,-0.14802,-2.58532,-9.68305,10.27526,-0.23205,Erik Sven Williams,0.41993,-0.18912,-10.85807,1.92732,False,-20.34361
1021,2.59620,0.12290,1.14850,-9.03340,10.57866,0.16407,Jerry Fernström,-0.68244,-0.06283,-7.41282,-0.40843,True,130.38438
1022,0.51772,-0.21044,0.14489,-9.56485,10.48131,-0.28886,Erik Sven Williams,-0.80491,-0.24972,-8.02090,-2.32397,False,25.95823
1023,1.28756,0.32756,-2.85644,-8.91277,10.26002,0.34156,Jerry Fernström,-0.35345,1.42571,-7.04013,-1.18167,False,62.94955
1024,-0.26069,-0.78638,6.40641,-9.09938,10.26081,-0.80213,Jerry från Solna,-0.32793,-2.13807,-8.28983,-1.45340,True,-9.83153
1025,0.59822,-0.02052,-4.84693,-9.57165,10.40347,-0.03766,Erik Sven Williams,1.43233,-1.39604,-9.70459,-1.93764,False,27.48756
1026,1.52480,0.47237,-5.02622,-8.88114,10.07351,0.35174,Jerry Fernström,-1.00956,4.00714,-8.02227,-3.04055,False,73.72710
1027,0.28846,-0.92215,3.32281,-9.53818,10.84829,-0.94131,Jerry från Solna,-0.38199,-0.65367,-8.45609,-0.46755,True,16.08457
1028,0.79993,-0.17043,2.21393,-8.84862,10.27236,-0.18951,Erik Sven Williams,-0.98839,1.23802,-9.44290,-0.68080,True,41.10341
1029,1.85839,-0.34068,-2.21422,-8.89602,10.22557,-0.25803,Erik Sven Williams,0.52720,-1.11126,-10.13716,0.10316,False,91.81235
1030,0.55470,0.01662,0.65730,-9.46495,10.84931,0.18301,Jerry Fernström,1.22132,-1.04208,-10.48432,-0.59741,True,28.06366
1031,0.76442,-1.89747,-3.12172,-8.90997,10.47839,-1.86263,Jerry från Solna,1.37861,-0.39256,-8.98173,-1.11714,False,36.66022
1032,0.55356,0.29352,1.09675,-9.33928,10.23826,0.41370,Jerry Fernström,0.30384,-0.03166,-7.85687,-2.66665,True,28.22659
1033,0.38467,0.09183,1.08361,-8.51877,10.29486,0.32798,Jerry Fernström,0.61720,-3.11397,-6.46832,-1.23054,True,19.77543
1034,1.87072,-0.73476,1.56009,-9.95786,10.05200,-0.71988,Erik Sven Williams,2.27580,0.22568,-8.70754,-0.63329,True,94.31599
1035,2.59300,-0.17737,-6.14736,-9.47488,10.15525,-0.33612,Erik Sven Williams,1.63079,3.94748,-11.59316,2.98956,False,126.57631
1036,-0.02026,-1.12223,-3.31632,-9.80741,10.22969,-1.07738,Jerry från Solna,0.15026,-1.35714,-8.80690,-1.31984,False,-2.67134
1037,0.12213,-0.32836,0.20003,-9.20434,10.12722,-0.35358,Erik Sven Williams,-0.14617,1.05775,-9.76531,-0.53456,False,6.20653
1038,0.26768,1.61493,5.36538,-8.82836,9.83677,1.46178,Jerry Williams,0.32052,2.31310,-6.73420,-2.06942,True,16.06689
1039,1.28444,0.89603,-0.50639,-9.13905,10.20095,0.91704,Erik Sven Fernström,0.27845,0.08231,-10.72715,-2.99639,True,63.96880
1040,2.82447,0.92959,-3.50314,-9.33248,10.20137,0.97002,Erik Sven Fernström,0.22456,-1.70330,-8.02971,-0.68664,False,139.47214
1041,1.24135,0.02758,1.47883,-9.38254,9.93686,-0.04022,Jerry Fernström,0.10693,-0.75082,-10.11718,4.96657,True,62.80690
1042,1.60538,0.40648,-1.08061,-8.51474,10.58241,0.42595,Jerry Fernström,-0.75672,-0.75941,-7.77143,0.07548,False,79.72855
1043,1.77465,0.83554,-2.53532,-9.47250,10.60838,0.61269,Erik Sven Fernström,-2.04780,-0.95233,-9.42043,-0.69467,False,87.46461
1044,0.97316,1.06707,-1.65708,-8.55759,10.25992,1.05664,Erik Sven Fernström,-0.09684,0.05341,-8.96449,-0.15433,False,47.82970
1045,3.27847,-0.43463,-5.02554,-9.66211,10.44457,-0.45381,Erik Sven Williams,0.23744,0.33201,-7.42224,-0.73330,False,161.41078
1046,-0.42901,-0.02620,6.59046,-8.70490,9.89190,-0.08344,Erik Sven Williams,0.84768,-0.38836,-9.79925,-2.74224,True,-18.15532
1047,3.59180,0.94237,-4.95159,-9.52117,10.57029,1.00574,Erik Sven Fernström,-1.56376,-0.87423,-8.06015,-2.57282,False,177.11419
1048,0.23085,0.83559,-0.54036,-9.88559,10.72023,0.79702,Erik Sven Fernström,-0.03918,-0.33604,-5.81402,-2.73074,True,11.27238
1049,1.03645,-0.21904,-4.58732,-9.87484,11.01013,-0.18848,Erik Sven Williams,-0.67833,-2.09571,-8.16320,-0.41895,False,49.52866
1050,3.02155,0.75782,-3.86687,-9.27345,10.18215,0.65382,Erik Sven Fernström,0.20503,-0.37814,-9.30566,3.28094,False,149.14425
1051,-1.41621,-0.76743,1.79771,-8.97702,10.47154,-0.82240,Jerry från Solna,-3.86514,1.24134,-9.39786,-3.67076,True,-69.91157
1052,0.53540,-0.24848,-0.02266,-9.58512,10.00882,-0.16182,Erik Sven Williams,-0.48777,-2.17792,-9.82299,-2.38413,False,26.75880
1053,0.01263,-0.51461,1.05204,-8.82617,10.16462,-0.48753,Erik Sven Williams,-1.14801,-1.21034,-8.59923,-0.17680,True,1.15751
1054,1.13807,-1.21062,-2.85725,-9.21970,10.81285,-1.23876,Jerry från Solna,-0.56116,0.55180,-7.02929,-0.09905,False,55.47485
1055,-0.11073,-0.95452,2.75392,-9.35869,10.63344,-1.06832,Jerry från Solna,0.39390,-1.17181,-6.50324,-1.55326,True,-4.15940
1056,-1.10405,-0.66362,-1.97254,-8.88538,10.23579,-0.79766,Erik Sven Williams,0.13349,-0.22428,-7.87840,2.38693,False,-56.18889
1057,0.32168,0.11765,3.01443,-8.83426,9.97782,0.18999,Jerry Fernström,-1.18628,2.81361,-8.01932,-0.17155,True,17.59099
1058,0.79823,0.32120,1.71213,-9.03052,10.34948,0.38539,Jerry Fernström,-1.14424,0.82021,-7.91622,-2.43273,True,40.76734
1059,0.10107,-0.70651,2.13002,-9.25033,10.47696,-1.00968,Erik Sven Williams,0.67897,1.15625,-7.60709,-0.81638,True,6.11872
1060,1.98276,0.74768,-3.50524,-9.14158,10.05787,0.65924,Jerry Fernström,0.92482,-1.45212,-7.57159,-0.62865,False,97.38538
1061,1.19965,0.11204,-5.73266,-9.25489,10.62226,0.14360,Jerry Fernström,-0.29262,0.07523,-8.30888,-1.37866,False,57.11601
1062,-0.09511,0.35200,-1.10252,-9.81101,10.07195,0.40140,Jerry Fernström,0.56992,-0.41834,-5.48397,0.74464,False,-5.30656
