,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Shoogee,2.20274,-0.04690,-4.69816,-9.07800,10.13118,-0.08900,Erik Sven Williams,0.54191,0.52041,-5.66990,-0.93831,False,107.78776
1,Bob,2.01516,-0.12177,-4.24286,-9.79772,9.98259,-0.01485,Erik Sven Williams,-1.21671,1.18749,-9.25300,-1.21892,False,98.63633
2,Bob,0.02598,-0.24764,0.39977,-9.54167,10.53391,-0.27978,Erik Sven Williams,-2.39764,1.95167,-9.46447,-2.68910,True,1.49880
3,Jorg,0.39778,-0.83343,-2.14272,-9.06550,10.15047,-0.84583,Jerry från Solna,0.09768,0.92010,-11.17952,0.59877,False,18.81785
4,Jorg,1.25346,0.09320,1.54063,-9.33171,9.92016,0.09889,Jerry Fernström,-0.46134,0.16381,-12.07755,1.09106,True,63.44326
5,Shoogee,1.15954,0.78537,-3.70564,-9.46372,10.89453,0.61639,Erik Sven Fernström,1.83140,-0.76110,-9.59077,-0.94028,False,56.12436
6,Bob,0.31286,-1.47409,2.55741,-9.39309,10.57540,-1.55005,Jerry från Solna,0.00667,0.81920,-8.61732,-0.98631,True,16.92157
7,Shoogee,1.54509,0.23941,-3.43077,-8.76582,10.40925,0.11521,Jerry Fernström,0.32147,-2.01798,-7.96515,-1.92120,False,75.53932
8,Shoogee,0.17154,-0.47433,-0.17844,-9.31194,10.19891,-0.33368,Erik Sven Williams,-0.09315,0.13393,-8.80181,-0.87099,False,8.48798
9,Atsuto,0.66473,-0.78804,4.29326,-9.51581,10.41592,-0.80244,Jerry från Solna,-0.14702,0.44156,-8.47115,-0.95962,True,35.38324
10,Bob,1.96281,1.38335,-5.34958,-8.74062,9.99305,1.26410,Erik Sven Fernström,-1.21275,-1.66495,-8.69746,-4.32338,False,95.46558
11,Jorg,0.38820,-0.57850,-3.99097,-8.76220,10.49834,-0.60379,Erik Sven Williams,-0.70538,-3.12653,-5.05477,0.49179,False,17.41475
12,Bob,0.72507,-1.17657,-3.05223,-8.75907,9.78143,-1.10133,Jerry från Solna,-0.38310,0.83547,-8.64833,-2.68819,False,34.72716
13,Shoogee,0.85214,0.25527,0.55583,-9.51062,10.07239,0.13728,Jerry Fernström,-0.15377,-0.37525,-7.90263,-0.64877,True,42.88516
14,Bob,0.00924,-1.18776,-2.77223,-9.07117,9.96663,-1.04588,Jerry från Solna,-1.14018,1.35728,-9.07756,-2.85258,False,-0.92426
